epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,292.526,0.64389,0.41716,0.85189,0.86161,0.9269,0.95495,0.69987,0.76846,0.45854,0.98375,0.000359409,0.000359409,0.000359409
43,298.754,0.66316,0.42484,0.86503,0.94877,0.89401,0.95899,0.75574,0.70991,0.4308,0.96962,0.000341077,0.000341077,0.000341077
44,305.264,0.60711,0.38023,0.81041,0.94338,0.91384,0.96335,0.75555,0.70796,0.38382,0.98037,0.000322745,0.000322745,0.000322745
45,311.282,0.64728,0.37683,0.85182,0.9638,0.94851,0.97617,0.72597,0.73012,0.38682,0.98047,0.000304414,0.000304414,0.000304414
46,318.291,0.64403,0.37356,0.86555,0.98047,0.95379,0.97652,0.72793,0.75998,0.39419,0.99732,0.000286083,0.000286083,0.000286083
47,324.513,0.66085,0.38805,0.872,0.92753,0.95893,0.9758,0.75156,0.72231,0.37772,0.9823,0.000267751,0.000267751,0.000267751
48,331.455,0.68298,0.40532,0.8488,0.93815,0.95475,0.97552,0.76424,0.68639,0.38237,0.95684,0.00024942,0.00024942,0.00024942
49,337.936,0.64509,0.39963,0.8514,0.90077,0.96727,0.97566,0.76154,0.68305,0.39412,0.9514,0.000231088,0.000231088,0.000231088
50,344.456,0.59986,0.35931,0.77942,0.90095,0.97046,0.97499,0.76517,0.684,0.39467,0.94885,0.000212757,0.000212757,0.000212757
51,354.849,0.61112,0.37559,0.86924,0.88798,0.95968,0.974,0.7665,0.72262,0.40557,0.95503,0.000194425,0.000194425,0.000194425
52,361.111,0.66479,0.81248,0.86689,0.98217,0.88146,0.96889,0.7655,0.70399,0.39152,0.95764,0.000176094,0.000176094,0.000176094
53,367.796,0.61012,0.37924,0.87631,0.95613,0.89634,0.96932,0.76492,0.68417,0.38315,0.95797,0.000157762,0.000157762,0.000157762
54,373.939,0.58843,0.35769,0.85848,0.9233,0.93535,0.97263,0.76948,0.69533,0.39444,0.96473,0.000139431,0.000139431,0.000139431
55,380.389,0.62332,0.36245,0.869,0.95844,0.94276,0.97713,0.77388,0.67704,0.38315,0.95749,0.000121099,0.000121099,0.000121099
56,386.753,0.64022,0.38179,0.92685,0.96932,0.93318,0.97666,0.78039,0.69537,0.37826,0.95557,0.000102768,0.000102768,0.000102768
57,393.508,0.68275,0.37327,0.84403,0.97209,0.92812,0.97652,0.78062,0.69454,0.38995,0.95302,8.4436e-05,8.4436e-05,8.4436e-05
58,399.752,0.57751,0.34134,0.87032,0.93601,0.95186,0.97652,0.75514,0.70101,0.37625,0.95453,6.61045e-05,6.61045e-05,6.61045e-05
59,406.375,0.60895,0.34767,0.84721,0.93029,0.96552,0.97696,0.77033,0.69162,0.36533,0.95581,4.7773e-05,4.7773e-05,4.7773e-05
60,412.48,0.56245,0.33839,0.82315,0.94877,0.9468,0.97596,0.76949,0.69766,0.36952,0.95892,2.94415e-05,2.94415e-05,2.94415e-05
